cpd_id	cpd_name	cpd_abbr	microbiome_related	KEGG	HMDB	class	pathway	super_pathway	sub_pathway
HMDB0000174	L-Fucose	L-Fucose		C01019	HMDB0000174	Carbohydrates	map00051 Fructose and mannose metabolism; map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01250 Biosynthesis of nucleotide sugars; map02020 Two-component system; map02024 Quorum sensing; map04625 C-type lectin receptor signaling pathway	Carbohydrate metabolism	Fructose and mannose metabolism
HMDB0000176	Maleic acid	Maleic acid		C01384	HMDB0000176	Organic acids	map00350 Tyrosine metabolism; map00650 Butanoate metabolism; map00760 Nicotinate and nicotinamide metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Amino acid metabolism	Tyrosine metabolism
HMDB0000177	L-Histidine(His)	L-Histidine(His)		C00135	HMDB0000177	Amino acids and Peptides	map00340 Histidine metabolism; map00404 Staurosporine biosynthesis; map00410 beta-Alanine metabolism; map00470 D-Amino acid metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Histidine metabolism
HMDB0000182	L-Lysine	L-Lysine	Y	C00047	HMDB0000182	Amino acids and Peptides	map00300 Lysine biosynthesis; map00310 Lysine degradation; map00470 D-Amino acid metabolism; map00780 Biotin metabolism; map00960 Tropane, piperidine and pyridine alkaloid biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04974 Protein digestion and absorption	Amino acid metabolism	Lysine biosynthesis
HMDB0000187	L-Serine(Ser)	L-Serine(Ser)		C00065	HMDB0000187	Amino acids and Peptides	map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00460 Cyanoamino acid metabolism; map00470 D-Amino acid metabolism; map00564 Glycerophospholipid metabolism; map00600 Sphingolipid metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00920 Sulfur metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map01502 Vancomycin resistance; map02010 ABC transporters; map04071 Sphingolipid signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000192	Cystine	Cystine		C00491	HMDB0000192	Amino acids, peptides, and analogues	map00270 Cysteine and methionine metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map04216 Ferroptosis; map04974 Protein digestion and absorption	Amino acid metabolism	Cysteine and methionine metabolism
HMDB0000193	Isocitric acid	Isocitric acid	Y	C00311	HMDB0000193	Organic acids	map00020 Citrate cycle (TCA cycle); map00630 Glyoxylate and dicarboxylate metabolism; map00720 Carbon fixation pathways in prokaryotes; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map04922 Glucagon signaling pathway; map05230 Central carbon metabolism in cancer	Carbohydrate metabolism	Citrate cycle (TCA cycle)
HMDB0000194	Anserine	Anserine		C01262	HMDB0000194	Amino acids and Peptides	map00340 Histidine metabolism; map00410 beta-Alanine metabolism; map01100 Metabolic pathways	Amino acid metabolism	Histidine metabolism
HMDB0000195	Inosine	Inosine		C00294	HMDB0000195	Nucleosides	map00230 Purine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map02010 ABC transporters	Nucleotide metabolism	Purine metabolism
HMDB0000197	Indoleacetic acid	Indoleacetic acid	Y	C00954	HMDB0000197	Organic acids	map00380 Tryptophan metabolism; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map04075 Plant hormone signal transduction	Amino acid metabolism	Tryptophan metabolism
HMDB0000201	L-Acetylcarnitine(C2)	L-Acetylcarnitine(C2)			HMDB0000201	Carnitines or Acyl carnitines			
HMDB0000202	Methylmalonic acid	Methylmalonic acid	Y	C02170	HMDB0000202	Organic acids	map00240 Pyrimidine metabolism; map00280 Valine, leucine and isoleucine degradation; map00640 Propanoate metabolism; map01100 Metabolic pathways	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000209	Phenylacetic acid	Phenylacetic acid		C07086	HMDB0000209	Benzene and derivatives	map00360 Phenylalanine metabolism; map00643 Styrene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Amino acid metabolism	Phenylalanine metabolism
HMDB0000210	Pantothenic acid	Pantothenic acid		C00864	HMDB0000210	Organooxygen compounds	map00410 beta-Alanine metabolism; map00770 Pantothenate and CoA biosynthesis; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01240 Biosynthesis of cofactors; map04977 Vitamin digestion and absorption	Metabolism of other amino acids	beta-Alanine metabolism
HMDB0000211	myo-Inositol	myo-Inositol		C00137	HMDB0000211	Organooxygen	map00052 Galactose metabolism; map00053 Ascorbate and aldarate metabolism; map00521 Streptomycin biosynthesis; map00562 Inositol phosphate metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01250 Biosynthesis of nucleotide sugars; map02010 ABC transporters; map04070 Phosphatidylinositol signaling system	Carbohydrate metabolism	Galactose metabolism
HMDB0000215	N-Acetyl-D-glucosamine	N-Acetyl-D-glucosamine	Y	C00140	HMDB0000215	Carbohydrates	map00520 Amino sugar and nucleotide sugar metabolism; map01100 Metabolic pathways; map01250 Biosynthesis of nucleotide sugars; map02010 ABC transporters; map02060 Phosphotransferase system (PTS)	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
HMDB0000223	Oxalacetic acid	Oxalacetic acid		C00036	HMDB0000223	Organic acids	map00010 Glycolysis / Gluconeogenesis; map00020 Citrate cycle (TCA cycle); map00250 Alanine, aspartate and glutamate metabolism; map00362 Benzoate degradation; map00470 D-Amino acid metabolism; map00620 Pyruvate metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map00720 Carbon fixation pathways in prokaryotes; map00946 Degradation of flavonoids; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map00999 Biosynthesis of various plant secondary metabolites; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map02020 Two-component system; map04922 Glucagon signaling pathway; map04964 Proximal tubule bicarbonate reclamation; map05230 Central carbon metabolism in cancer	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
HMDB0000224	O-Phosphoethanolamine	O-Phosphoethanolamine		C00346	HMDB0000224	Organic acids	map00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis; map00564 Glycerophospholipid metabolism; map00600 Sphingolipid metabolism; map01100 Metabolic pathways; map01503 Cationic antimicrobial peptide (CAMP) resistance; map04071 Sphingolipid signaling pathway	Glycan biosynthesis and metabolism	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
HMDB0000225	Oxoadipic acid	Oxoadipic acid	Y	C00322	HMDB0000225	Organic acids	map00300 Lysine biosynthesis; map00310 Lysine degradation; map00380 Tryptophan metabolism; map00680 Methane metabolism; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors	Amino acid metabolism	Lysine biosynthesis
HMDB0000226	Orotic acid	Orotic acid		C00295	HMDB0000226	Organoheterocyclic	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000230	N-Acetylneuraminic acid	N-Acetylneuraminic acid		C19910	HMDB0000230	Carbohydrates			
HMDB0000232	Quinolinic acid	Quinolinic acid	Y	C03722	HMDB0000232	Organic acids	map00380 Tryptophan metabolism; map00410 beta-Alanine metabolism; map00760 Nicotinate and nicotinamide metabolism; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors	Amino acid metabolism	Tryptophan metabolism
HMDB0000243	Pyruvic acid	Pyruvic acid		C00022	HMDB0000243	Organic acids	map00010 Glycolysis / Gluconeogenesis; map00020 Citrate cycle (TCA cycle); map00030 Pentose phosphate pathway; map00040 Pentose and glucuronate interconversions; map00053 Ascorbate and aldarate metabolism; map00250 Alanine, aspartate and glutamate metabolism; map00260 Glycine, serine and threonine metabolism; map00261 Monobactam biosynthesis; map00270 Cysteine and methionine metabolism; map00290 Valine, leucine and isoleucine biosynthesis; map00330 Arginine and proline metabolism; map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00362 Benzoate degradation; map00430 Taurine and hypotaurine metabolism; map00440 Phosphonate and phosphinate metabolism; map00470 D-Amino acid metabolism; map00620 Pyruvate metabolism; map00621 Dioxin degradation; map00622 Xylene degradation; map00630 Glyoxylate and dicarboxylate metabolism; map00650 Butanoate metabolism; map00660 C5-Branched dibasic acid metabolism; map00680 Methane metabolism; map00710 Carbon fixation in photosynthetic organisms; map00720 Carbon fixation pathways in prokaryotes; map00730 Thiamine metabolism; map00760 Nicotinate and nicotinamide metabolism; map00770 Pantothenate and CoA biosynthesis; map00900 Terpenoid backbone biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map01060 Biosynthesis of plant secondary metabolites; map01061 Biosynthesis of phenylpropanoids; map01062 Biosynthesis of terpenoids and steroids; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01070 Biosynthesis of plant hormones; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01210 2-Oxocarboxylic acid metabolism; map01220 Degradation of aromatic compounds; map01230 Biosynthesis of amino acids; map01240 Biosynthesis of cofactors; map01502 Vancomycin resistance; map02060 Phosphotransferase system (PTS); map04066 HIF-1 signaling pathway; map04152 AMPK signaling pathway; map04911 Insulin secretion; map04922 Glucagon signaling pathway; map04930 Type II diabetes mellitus; map04931 Insulin resistance; map05230 Central carbon metabolism in cancer; map05415 Diabetic cardiomyopathy	Carbohydrate metabolism	Glycolysis / Gluconeogenesis
HMDB0000247	Sorbitol	Sorbitol		C00794	HMDB0000247	Carbohydrates	map00051 Fructose and mannose metabolism; map00052 Galactose metabolism; map01100 Metabolic pathways; map02010 ABC transporters; map02060 Phosphotransferase system (PTS); map05415 Diabetic cardiomyopathy	Carbohydrate metabolism	Fructose and mannose metabolism
HMDB0000248	Thyroxine	Thyroxine		C01829	HMDB0000248	Amino acids, peptides, and analogues	map00350 Tyrosine metabolism; map01100 Metabolic pathways; map04080 Neuroactive ligand-receptor interaction; map04918 Thyroid hormone synthesis; map04919 Thyroid hormone signaling pathway; map04976 Bile secretion; map05320 Autoimmune thyroid disease	Amino acid metabolism	Tyrosine metabolism
HMDB0000271	Sarcosine	Sarcosine	Y	C00213	HMDB0000271	Amino acids and Peptides	map00260 Glycine, serine and threonine metabolism; map00330 Arginine and proline metabolism; map01100 Metabolic pathways	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000272	Phosphoserine	Phosphoserine	Y	C01005	HMDB0000272	Amino acids and Peptides	map00260 Glycine, serine and threonine metabolism; map00270 Cysteine and methionine metabolism; map00680 Methane metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00997 Biosynthesis of various other secondary metabolites; map00998 Biosynthesis of various antibiotics; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01200 Carbon metabolism; map01230 Biosynthesis of amino acids	Amino acid metabolism	Glycine, serine and threonine metabolism
HMDB0000273	Thymidine	Thymidine		C00214	HMDB0000273	Nucleosides	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000283	Ribose	Ribose		C00121	HMDB0000283	Carbohydrates	map00030 Pentose phosphate pathway; map01100 Metabolic pathways; map02010 ABC transporters; map02030 Bacterial chemotaxis	Carbohydrate metabolism	Pentose phosphate pathway
HMDB0000288	Uridine 5'-monophosphate	Uridine 5'-monophosphate		C00105	HMDB0000288	Nucleosides	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map01240 Biosynthesis of cofactors	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000289	Uric acid	Uric acid		C00366	HMDB0000289	Purines and derivatives	map00230 Purine metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map04976 Bile secretion	Nucleotide metabolism	Purine metabolism
HMDB0000291	Vanillymandelic Acid	Vanillymandelic Acid	Y	C05584	HMDB0000291	Organic acids	map00350 Tyrosine metabolism; map01100 Metabolic pathways	Amino acid metabolism	Tyrosine metabolism
HMDB0000296	Uridine	Uridine		C00299	HMDB0000296	Nucleosides	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map01232 Nucleotide metabolism; map02010 ABC transporters	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000299	Xanthosine	Xanthosine		C01762	HMDB0000299	Nucleosides	map00230 Purine metabolism; map00232 Caffeine metabolism; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01232 Nucleotide metabolism; map02010 ABC transporters	Nucleotide metabolism	Purine metabolism
HMDB0000301	Urocanic acid	Urocanic acid		C00785	HMDB0000301	Organic acids	map00340 Histidine metabolism; map01100 Metabolic pathways	Amino acid metabolism	Histidine metabolism
HMDB0000303	Tryptamine	Tryptamine	Y	C00398	HMDB0000303	Indoles and derivatives	map00380 Tryptophan metabolism; map00901 Indole alkaloid biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map04080 Neuroactive ligand-receptor interaction	Amino acid metabolism	Tryptophan metabolism
HMDB0000317	2-Hydroxy-3-methylpentanoic acid	2-Hydroxy-3-methylpentanoic acid			HMDB0000317	Fatty acyls[FA]			
HMDB0000321	2-hydroxyadipic acid	2-hydroxyadipic acid		C02360	HMDB0000321	Fatty acyls[FA]			
HMDB0000328	12-Ketodeoxycholic acid(12-keto-CDCA)	12-Ketodeoxycholic acid(12-keto-CDCA)			HMDB0000328	Bile acids			
HMDB0000345	3-Hydroxyadipic acid	3-Hydroxyadipic acid			HMDB0000345	Organic acids			
HMDB0000350	3-Hydroxysebacic acid	3-Hydroxysebacic acid			HMDB0000350	Organic acids			
HMDB0000375	3-(3-Hydroxyphenyl)propanoic acid	3-(3-Hydroxyphenyl)propanoic acid		C11457	HMDB0000375	Phenylpropanoic acids	map00360 Phenylalanine metabolism; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds	Amino acid metabolism	Phenylalanine metabolism
HMDB0000379	2-Methylcitric acid	2-Methylcitric acid		C02225	HMDB0000379	Organic acids			
HMDB0000393	3-Hexenedioic acid	3-Hexenedioic acid			HMDB0000393	Fatty acids			
HMDB0000413	3-Hydroxydodecanedioic acid	3-Hydroxydodecanedioic acid			HMDB0000413	Organic acids			
HMDB0000434	Homoveratric acid	Homoveratric acid			HMDB0000434	Benzenoids			
HMDB0000440	3-Hydroxyphenylacetic acid	3-Hydroxyphenylacetic acid	Y	C05593	HMDB0000440	Benzenoids	map00350 Tyrosine metabolism; map00360 Phenylalanine metabolism; map00643 Styrene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Amino acid metabolism	Tyrosine metabolism
HMDB0000446	N-alpha-Acetyl-L-lysine	N-alpha-Acetyl-L-lysine		C12989	HMDB0000446	Amino acids and Peptides			
HMDB0000448	Adipic acid	Adipic acid	Y	C06104	HMDB0000448	Fatty acids	map00930 Caprolactam degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds	Xenobiotics biodegradation and metabolism	Caprolactam degradation
HMDB0000450	5-Hydroxylysine	5-Hydroxylysine		C16741	HMDB0000450	Amino acids and Peptides	map00310 Lysine degradation; map01100 Metabolic pathways	Amino acid metabolism	Lysine degradation
HMDB0000452	L-alpha-Aminobutyric acid	L-alpha-Aminobutyric acid		C02356	HMDB0000452	Organic acids	map00270 Cysteine and methionine metabolism; map01100 Metabolic pathways	Amino acid metabolism	Cysteine and methionine metabolism
HMDB0000472	5-Hydroxy-L-tryptophan	5-Hydroxy-L-tryptophan	Y	C00643	HMDB0000472	Indoles and derivatives	map00380 Tryptophan metabolism; map01063 Biosynthesis of alkaloids derived from shikimate pathway; map01100 Metabolic pathways; map04361 Axon regeneration; map04726 Serotonergic synapse	Amino acid metabolism	Tryptophan metabolism
HMDB0000482	Caprylic acid	Caprylic acid		C06423	HMDB0000482	Fatty acids	map00061 Fatty acid biosynthesis; map00785 Lipoic acid metabolism; map01060 Biosynthesis of plant secondary metabolites; map01066 Biosynthesis of alkaloids derived from terpenoid and polyketide; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors	Lipid metabolism	Fatty acid biosynthesis
HMDB0000484	Vanillic acid	Vanillic acid	Y	C06672	HMDB0000484	Benzenoids	map00627 Aminobenzoate degradation; map01120 Microbial metabolism in diverse environments	Xenobiotics biodegradation and metabolism	Aminobenzoate degradation
HMDB0000486	7-Hydroxyoctanoic acid	7-Hydroxyoctanoic acid			HMDB0000486	Organic acids			
HMDB0000491	3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	Y	C03465	HMDB0000491	Organic acids			
HMDB0000500	4-Hydroxybenzoic acid	4-Hydroxybenzoic acid	Y	C00156	HMDB0000500	Benzenoids	map00130 Ubiquinone and other terpenoid-quinone biosynthesis; map00362 Benzoate degradation; map00363 Bisphenol degradation; map00623 Toluene degradation; map00627 Aminobenzoate degradation; map00790 Folate biosynthesis; map01061 Biosynthesis of phenylpropanoids; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01120 Microbial metabolism in diverse environments; map01220 Degradation of aromatic compounds; map01240 Biosynthesis of cofactors; map07110 Benzoic acid family	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis
HMDB0000502	3-Oxocholic acid	3-Oxocholic acid			HMDB0000502	Bile acids, alcohols and derivatives			
HMDB0000508	Ribitol	Ribitol		C00474	HMDB0000508	Carbohydrates	map00040 Pentose and glucuronate interconversions; map00740 Riboflavin metabolism; map01100 Metabolic pathways	Carbohydrate metabolism	Pentose and glucuronate interconversions
HMDB0000509	Senecioic acid	Senecioic acid			HMDB0000509	Organic acids			
HMDB0000512	N-Acetyl-L-phenylalanine	N-Acetyl-L-phenylalanine		C03519	HMDB0000512	Benzenoids	map00360 Phenylalanine metabolism; map01100 Metabolic pathways	Amino acid metabolism	Phenylalanine metabolism
HMDB0000517	L-Arginine(Arg)	L-Arginine(Arg)		C00062	HMDB0000517	Amino acids and Peptides	map00220 Arginine biosynthesis; map00261 Monobactam biosynthesis; map00330 Arginine and proline metabolism; map00331 Clavulanic acid biosynthesis; map00470 D-Amino acid metabolism; map00970 Aminoacyl-tRNA biosynthesis; map00998 Biosynthesis of various antibiotics; map01060 Biosynthesis of plant secondary metabolites; map01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map05014 Amyotrophic lateral sclerosis; map05022 Pathways of neurodegeneration - multiple diseases; map05142 Chagas disease; map05146 Amoebiasis; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Arginine biosynthesis
HMDB0000522	3-Methylglutaconic acid	3-Methylglutaconic acid			HMDB0000522	Fatty acyls[FA]			
HMDB0000528	4,5-Dihydroorotic acid	4,5-Dihydroorotic acid		C00337	HMDB0000528	Amino acids, peptides, and analogues	map00240 Pyrimidine metabolism; map01100 Metabolic pathways; map01240 Biosynthesis of cofactors	Nucleotide metabolism	Pyrimidine metabolism
HMDB0000529	5Z-Dodecenoic acid	5Z-Dodecenoic acid			HMDB0000529	Fatty acids			
HMDB0000531	3-Hydroxyvaleric acid	3-Hydroxyvaleric acid			HMDB0000531	Fatty acyls[FA]			
HMDB0000532	Acetylglycine	Acetylglycine			HMDB0000532	Amino acids and Peptides			
HMDB0000535	Caproic acid	Caproic acid	Y	C01585	HMDB0000535	Fatty acids			
HMDB0000539	Arabinonic acid	Arabinonic acid		C00878	HMDB0000539	Carbohydrates	map00053 Ascorbate and aldarate metabolism; map01100 Metabolic pathways	Carbohydrate metabolism	Ascorbate and aldarate metabolism
HMDB0000543	Benzenebutanoic acid	Benzenebutanoic acid		C21793	HMDB0000543	Benzenoids			
HMDB0000555	3-Methyladipic acid	3-Methyladipic acid	Y		HMDB0000555	Fatty acids			
HMDB0000557	L-Alloisoleucine	L-Alloisoleucine		C21096	HMDB0000557	Amino acids and Peptides			
HMDB0000575	Homocystine	Homocystine		C20788	HMDB0000575	Amino acids, peptides, and analogues			
HMDB0000613	Erythronic acid	Erythronic acid		C21593	HMDB0000613	Carbohydrates			
HMDB0000621	Ribulose	Ribulose			HMDB0000621	Carbohydrates			
HMDB0000623	Dodecanedioic acid	Dodecanedioic acid		C02678	HMDB0000623	Fatty acids			
HMDB0000634	Citraconic acid	Citraconic acid	Y	C02226	HMDB0000634	Fatty acids	map00290 Valine, leucine and isoleucine biosynthesis; map00660 C5-Branched dibasic acid metabolism; map01100 Metabolic pathways; map01210 2-Oxocarboxylic acid metabolism	Amino acid metabolism	Valine, leucine and isoleucine biosynthesis
HMDB0000635	Succinylacetone	Succinylacetone			HMDB0000635	Organic acids			
HMDB0000639	Galactaric acid	Galactaric acid		C00879	HMDB0000639	Carbohydrates	map00053 Ascorbate and aldarate metabolism; map01100 Metabolic pathways	Carbohydrate metabolism	Ascorbate and aldarate metabolism
HMDB0000641	L-Glutamine(Gln)	L-Glutamine(Gln)		C00064	HMDB0000641	Amino acids and Peptides	map00220 Arginine biosynthesis; map00230 Purine metabolism; map00240 Pyrimidine metabolism; map00250 Alanine, aspartate and glutamate metabolism; map00470 D-Amino acid metabolism; map00630 Glyoxylate and dicarboxylate metabolism; map00750 Vitamin B6 metabolism; map00910 Nitrogen metabolism; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments; map01230 Biosynthesis of amino acids; map01232 Nucleotide metabolism; map01240 Biosynthesis of cofactors; map02010 ABC transporters; map02020 Two-component system; map04724 Glutamatergic synapse; map04727 GABAergic synapse; map04964 Proximal tubule bicarbonate reclamation; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Arginine biosynthesis
HMDB0000651	Decanoylcarnitine (C10)	Decanoylcarnitine (C10)			HMDB0000651	Carnitines or Acyl carnitines			
HMDB0000660	Fructose	Fructose		C02336	HMDB0000660	Carbohydrates	map00520 Amino sugar and nucleotide sugar metabolism; map01250 Biosynthesis of nucleotide sugars	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism
HMDB0000661	Glutaric acid	Glutaric acid	Y	C00489	HMDB0000661	Organic acids	map00071 Fatty acid degradation; map00310 Lysine degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Lipid metabolism	Fatty acid degradation
HMDB0000663	Glucaric acid	Glucaric acid		C00818	HMDB0000663	Carbohydrates	map00053 Ascorbate and aldarate metabolism; map01100 Metabolic pathways	Carbohydrate metabolism	Ascorbate and aldarate metabolism
HMDB0000665	Leucinic acid	Leucinic acid			HMDB0000665	Fatty acyls[FA]			
HMDB0000666	Heptanoic acid	Heptanoic acid	Y	C17714	HMDB0000666	Fatty acids			
HMDB0000669	Ortho-Hydroxyphenylacetic acid	Ortho-Hydroxyphenylacetic acid	Y	C05852	HMDB0000669	Benzenoids	map00360 Phenylalanine metabolism; map00643 Styrene degradation; map01100 Metabolic pathways; map01120 Microbial metabolism in diverse environments	Amino acid metabolism	Phenylalanine metabolism
HMDB0000670	Homo-L-arginine	Homo-L-arginine		C01924	HMDB0000670	Amino acids and Peptides			
HMDB0000678	Isovalerylglycine	Isovalerylglycine			HMDB0000678	Amino acids and Peptides			
HMDB0000686	Isoursodeoxycholic acid(Iso-UDCA)	Isoursodeoxycholic acid(Iso-UDCA)		C17662	HMDB0000686	Bile acids, alcohols and derivatives	map00121 Secondary bile acid biosynthesis	Lipid metabolism	Secondary bile acid biosynthesis
HMDB0000687	L-Leucine(Leu)	L-Leucine(Leu)		C00123	HMDB0000687	Amino acids and Peptides	map00280 Valine, leucine and isoleucine degradation; map00290 Valine, leucine and isoleucine biosynthesis; map00966 Glucosinolate biosynthesis; map00970 Aminoacyl-tRNA biosynthesis; map01060 Biosynthesis of plant secondary metabolites; map01065 Biosynthesis of alkaloids derived from histidine and purine; map01100 Metabolic pathways; map01110 Biosynthesis of secondary metabolites; map01210 2-Oxocarboxylic acid metabolism; map01230 Biosynthesis of amino acids; map02010 ABC transporters; map04150 mTOR signaling pathway; map04974 Protein digestion and absorption; map04978 Mineral absorption; map05131 Shigellosis; map05230 Central carbon metabolism in cancer	Amino acid metabolism	Valine, leucine and isoleucine degradation
HMDB0000688	Isovalerylcarnitine(C5)	Isovalerylcarnitine(C5)			HMDB0000688	Carnitines or Acyl carnitines			
HMDB0000689	Isocaproic acid	Isocaproic acid		C21399	HMDB0000689	Fatty acids			
